	ihuman	BLCA	BRCA	CESC	COAD	GBM	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	SKCM	STAD	TGCT	THCA	UCEC
Formation and hydrolysis of cholesterol esters	0.0	62.14138103120611	0.0010942285542344657	3.1902052010577893	166.72634495170013	0.36417768747840557	0.1815598831239668	29.71160152047387	3.190205201057791	0.0	0.7080226976693595	0.12687135400288474	8.78009076186849	1.2306185997848722	0.0	0.0859601265738286	1.626129340060251	0.005864869465237547	4.105163447527834	0.18331636377605515	4.6087784744267175	0.0
Fructose and mannose metabolism	0.0	-0.036224236507161424	0.0	0.036224236507161445	0.0	0.0724484730143229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Galactose metabolism	1.062577995432712	811.8629516423736	12.046325522280142	0.5312888021050346	0.5312888021050349	1.6395931054148973	11.244022990719305	1.062577604210069	0.5312888021050344	1.5938664063151027	2.1090555477502884	0.5312888021050347	0.5312888021050345	0.5312888021050348	0.5312888021050349	0.5308318527522873	0.5312888021050347	17.81132573991485	0.5312888021050345	2.3183511364583334	0.5312888021050345	0.5312888021050346
Glucocorticoid biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00494976378748474	0.00515455526720312	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glutathione metabolism	0.0	1354.9478837895158	88.46018874630272	233.35333946619085	0.06284247157527956	876.2316986138726	253.18963825435813	24.45366970222843	149.965554580965	0.00603737275119357	0.0	24.45366970222844	1941.7637446421313	0.006037372751193577	0.0	29.838681248651405	39.199306454588836	30.824169181463894	0.0	24.45366970222844	0.0060373727511935735	1334.9298479884264
Glycerolipid metabolism	0.005169541342826252	-1.67838962483156	658.4362101891604	563.3845967520522	486.64551090757675	90.46520071010825	0.0	466.232967863201	1.1320991689039201	1253.1451646625374	-714.1740519627597	1.6983260660615045	-190.86673950423477	0.0	1.0001935002494426	-196.69004113592294	0.6766040562767316	0.6664508479642189	316.62730090924913	5.464615824773178	0.0	0.43469083808593734
Glycerophospholipid metabolism	51.68651282664618	595.1486042993982	867.0117616881408	57.9163299969548	729.9482881296697	377.0215618840848	1010.8846274577361	1195.039898214271	18.4457758126502	503.84237300862355	1280.5421654710262	49.620845731036816	357.26143821625044	18.419973067969607	943.0884136218328	458.2657701881335	713.1713822338731	86.8558721399504	-284.5177562286419	337.62207151666115	1000.6419344276446	49.61311389813599
Glycine, serine and threonine metabolism	-1119.755478232798	-2238.044745604212	-1864.0614623929973	-945.8129382600617	-2273.08429558428	-498.2035542523208	-1476.24149655975	752.2031609788532	-2306.522829155812	-2464.824732745129	-2733.741904597377	-1076.639467095531	-1668.3872840489394	-992.5359654769218	-2001.0053630396892	-960.2162280305639	-1936.2915925056463	-2571.1787898961406	-461.93499903935407	-2415.9294504307113	-1223.1887383038527	-2294.8452365572616
Glycolysis / Gluconeogenesis	1135.079365829425	1207.7646504410386	1676.1615852294372	1275.3214825980076	998.6838527402398	1000.0927023225204	3665.5235907591077	1167.9452553749572	1271.5607051491097	2214.5314986632	2143.845473747506	1069.6178985127813	3199.06352157766	1937.6007709143953	1414.6807396179522	2553.509628546849	794.713326616716	2232.3437471946568	1110.3213186102928	1187.0417057030854	1676.9909994888772	1199.0421316018155
Glycosphingolipid biosynthesis-ganglio series	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.66600149869465	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycosphingolipid biosynthesis-globo series	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycosphingolipid biosynthesis-lacto and neolacto series	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycosphingolipid metabolism	0.0	0.0	0.0	3.1902052010577884	0.017894120754944794	0.0	0.0	0.0	0.0	0.0	0.0	0.6361800509690468	0.0	0.0	0.005154555267203119	0.0	0.0	3.18855545586117	0.0	0.0	0.0	0.0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glyoxylate and dicarboxylate metabolism	0.0	115.799041832118	664.9857014377228	19.484446862519928	0.04987087673087974	0.28784607130793893	1.8310507361863897	6.429164358084323	18.956514984140355	79.80610637708787	71.60879349069084	47.719218377176695	2.6741214878093444	36.8467348873799	0.0	6.578942374291994	3.8598619175088977	34.68132829001336	60.26596126159598	0.0	38.7080976151157	0.8659336540029818
Heme degradation	0.0012886392912552398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.866140561090238e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Heparan sulfate degradation	0.0	0.0	0.004148444919448834	0.0	0.0	4.785307801586683	0.0	6.710539812951659	4.785307801586681	0.0	0.0	0.0	0.0	0.003712322840613556	0.0	0.9884555794780616	3.487063122706541	0.0	0.0	0.0	0.0	0.00775430915923725
Hippurate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Histidine metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.332787548124216	0.0	0.0	0.0	0.0
Inositol phosphate metabolism	0.7667466217042864	0.0	0.0	0.7667463394015839	0.7667463394015844	0.7667463394015841	0.0	0.0	0.0	0.0	0.0	0.0	0.766746339401584	0.7667463394015843	0.0	45.884457486772845	0.0	0.0	0.0	0.7667463394015841	0.0	0.0
Insect hormone biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
